机型,日期,销量,月份,周数,index
荣耀20 PRO,10.1,1919,10,40,1267079
荣耀20 PRO,10.2-10.8,10080,10,41,1267079
荣耀20 PRO,10.9-10.15,11063,10,42,1267079
荣耀20 PRO,10.16-10.22,10280,10,43,1267079
荣耀20i,1.1-1.5,42729,1,1,1266797
荣耀20i,1.6-1.12,49292,1,2,1266797
荣耀20i,1.13-1.19,42711,1,3,1266797
荣耀20i,1.20-1.26,40851,1,4,1266797
荣耀20i,1.27-1.31,22519,1,5,1266797
荣耀20i,2.1-2.2,7396,2,5,1266797
荣耀20i,2.3-2.9,20392,2,6,1266797
荣耀20i,2.10-2.16,18256,2,7,1266797
荣耀20i,2.17-2.23,18399,2,8,1266797
荣耀20i,2.24-2.29,20688,2,9,1266797
荣耀20i,3.1-3.5,18830,3,10,1266797
荣耀20i,3.6-3.12,20884,3,11,1266797
荣耀20i,3.13-3.19,20452,3,12,1266797
荣耀20i,3.20-3.26,18275,3,13,1266797
荣耀20i,3.27-3.31,11899,3,14,1266797
荣耀20i,4.1-4.2,5911,4,14,1266797
荣耀20i,4.3-4.9,17618,4,15,1266797
荣耀20i,4.10-4.16,15111,4,16,1266797
荣耀20i,4.17-4.23,13266,4,17,1266797
荣耀20i,4.24-4.30,12012,4,18,1266797
荣耀20i,5.1-5.7,11373,5,19,1266797
荣耀20i,5.8-5.14,10138,5,20,1266797
荣耀20i,5.15-5.21,8792,5,21,1266797
荣耀20i,5.22-5.28,8741,5,22,1266797
荣耀20i,5.29-5.31,3909,5,23,1266797
荣耀20i,6.1-6.4,4906,6,23,1266797
荣耀20i,6.5-6.11,8386,6,24,1266797
荣耀20i,6.12-6.18,8000,6,25,1266797
荣耀20i,6.19-6.25,8031,6,26,1266797
荣耀20i,6.26-6.30,5975,6,27,1266797
荣耀20i,7.1-7.2,2747,7,27,1266797
荣耀20i,7.3-7.9,8281,7,28,1266797
荣耀20i,7.10-7.16,7628,7,29,1266797
荣耀20i,7.17-7.23,7881,7,30,1266797
荣耀20i,7.24-7.30,8079,7,31,1266797
荣耀20i,7.31-7.31,1154,7,32,1266797
荣耀20i,8.1-8.6,6935,8,32,1266797
荣耀20i,8.7-8.13,7622,8,33,1266797
荣耀20i,8.14-8.20,6881,8,34,1266797
荣耀20i,8.21-8.27,6384,8,35,1266797
荣耀20i,8.28-8.31,3930,8,36,1266797
荣耀20i,9.1-9.3,2931,9,36,1266797
荣耀20i,9.4-9.10,5327,9,37,1266797
荣耀20i,9.11-9.17,5395,9,38,1266797
荣耀20i,9.18-9.24,5058,9,39,1266797
荣耀20i,9.25-9.30,4326,9,40,1266797
荣耀20i,10.1,1008,10,40,1266797
荣耀20i,10.2-10.8,4872,10,41,1266797
荣耀20i,10.9-10.15,4563,10,42,1266797
荣耀20i,10.16-10.22,4419,10,43,1266797
荣耀20S,1.1-1.5,45331,1,1,1290026
荣耀20S,1.6-1.12,59929,1,2,1290026
荣耀20S,1.13-1.19,71390,1,3,1290026
荣耀20S,1.20-1.26,80672,1,4,1290026
荣耀20S,1.27-1.31,48913,1,5,1290026
荣耀20S,2.1-2.2,20612,2,5,1290026
荣耀20S,2.3-2.9,50660,2,6,1290026
荣耀20S,2.10-2.16,40804,2,7,1290026
荣耀20S,2.17-2.23,45328,2,8,1290026
荣耀20S,2.24-2.29,50018,2,9,1290026
荣耀20S,3.1-3.5,52119,3,10,1290026
荣耀20S,3.6-3.12,67820,3,11,1290026
荣耀20S,3.13-3.19,78913,3,12,1290026
荣耀20S,3.20-3.26,68722,3,13,1290026
荣耀20S,3.27-3.31,39690,3,14,1290026
荣耀20S,4.1-4.2,17206,4,14,1290026
荣耀20S,4.3-4.9,54962,4,15,1290026
荣耀20S,4.10-4.16,44723,4,16,1290026
荣耀20S,4.17-4.23,42466,4,17,1290026
荣耀20S,4.24-4.30,36001,4,18,1290026
荣耀20S,5.1-5.7,33405,5,19,1290026
荣耀20S,5.8-5.14,30737,5,20,1290026
荣耀20S,5.15-5.21,26964,5,21,1290026
荣耀20S,5.22-5.28,23645,5,22,1290026
荣耀20S,5.29-5.31,11130,5,23,1290026
荣耀20S,6.1-6.4,13841,6,23,1290026
荣耀20S,6.5-6.11,21482,6,24,1290026
荣耀20S,6.12-6.18,20105,6,25,1290026
荣耀20S,6.19-6.25,20162,6,26,1290026
荣耀20S,6.26-6.30,13973,6,27,1290026
荣耀20S,7.1-7.2,5638,7,27,1290026
荣耀20S,7.3-7.9,16047,7,28,1290026
荣耀20S,7.10-7.16,15063,7,29,1290026
荣耀20S,7.17-7.23,12064,7,30,1290026
荣耀20S,7.24-7.30,8989,7,31,1290026
荣耀20S,7.31-7.31,1284,7,32,1290026
荣耀20S,8.1-8.6,4817,8,32,1290026
荣耀20S,8.7-8.13,4335,8,33,1290026
荣耀20S,8.14-8.20,3840,8,34,1290026
荣耀20S,8.21-8.27,3760,8,35,1290026
荣耀20S,8.28-8.31,2325,8,36,1290026
荣耀20S,9.1-9.3,1832,9,36,1290026
荣耀20S,9.4-9.10,3401,9,37,1290026
荣耀20S,9.11-9.17,3059,9,38,1290026
荣耀20S,9.18-9.24,2810,9,39,1290026
荣耀20S,9.25-9.30,2342,9,40,1290026
荣耀20S,10.1,505,10,40,1290026
荣耀20S,10.2-10.8,2618,10,41,1290026
荣耀20S,10.9-10.15,2881,10,42,1290026
荣耀20S,10.16-10.22,2647,10,43,1290026
荣耀20青春版,1.1-1.5,27298,1,1,1275456
荣耀20青春版,1.6-1.12,35598,1,2,1275456
荣耀20青春版,1.13-1.19,41870,1,3,1275456
荣耀20青春版,1.20-1.26,49293,1,4,1275456
荣耀20青春版,1.27-1.31,28446,1,5,1275456
荣耀20青春版,2.1-2.2,11689,2,5,1275456
荣耀20青春版,2.3-2.9,31513,2,6,1275456
荣耀20青春版,2.10-2.16,30796,2,7,1275456
荣耀20青春版,2.17-2.23,36358,2,8,1275456
荣耀20青春版,2.24-2.29,43791,2,9,1275456
荣耀20青春版,3.1-3.5,45418,3,10,1275456
荣耀20青春版,3.6-3.12,65344,3,11,1275456
荣耀20青春版,3.13-3.19,78043,3,12,1275456
荣耀20青春版,3.20-3.26,77262,3,13,1275456
荣耀20青春版,3.27-3.31,53330,3,14,1275456
荣耀20青春版,4.1-4.2,24014,4,14,1275456
荣耀20青春版,4.3-4.9,80403,4,15,1275456
荣耀20青春版,4.10-4.16,72935,4,16,1275456
荣耀20青春版,4.17-4.23,74857,4,17,1275456
荣耀20青春版,4.24-4.30,65725,4,18,1275456
荣耀20青春版,5.1-5.7,67839,5,19,1275456
荣耀20青春版,5.8-5.14,62646,5,20,1275456
荣耀20青春版,5.15-5.21,57425,5,21,1275456
荣耀20青春版,5.22-5.28,55185,5,22,1275456
荣耀20青春版,5.29-5.31,28227,5,23,1275456
荣耀20青春版,6.1-6.4,34062,6,23,1275456
荣耀20青春版,6.5-6.11,56145,6,24,1275456
荣耀20青春版,6.12-6.18,56349,6,25,1275456
荣耀20青春版,6.19-6.25,55805,6,26,1275456
荣耀20青春版,6.26-6.30,37216,6,27,1275456
荣耀20青春版,7.1-7.2,14683,7,27,1275456
荣耀20青春版,7.3-7.9,34942,7,28,1275456
荣耀20青春版,7.10-7.16,26497,7,29,1275456
荣耀20青春版,7.17-7.23,25589,7,30,1275456
荣耀20青春版,7.24-7.30,26467,7,31,1275456
荣耀20青春版,7.31-7.31,3781,7,32,1275456
荣耀20青春版,8.1-8.6,22868,8,32,1275456
荣耀20青春版,8.7-8.13,24279,8,33,1275456
荣耀20青春版,8.14-8.20,23725,8,34,1275456
荣耀20青春版,8.21-8.27,22361,8,35,1275456
荣耀20青春版,8.28-8.31,14244,8,36,1275456
荣耀20青春版,9.1-9.3,10134,9,36,1275456
荣耀20青春版,9.4-9.10,18884,9,37,1275456
荣耀20青春版,9.11-9.17,20874,9,38,1275456
荣耀20青春版,9.18-9.24,18854,9,39,1275456
荣耀20青春版,9.25-9.30,15512,9,40,1275456
荣耀20青春版,10.1,4448,10,40,1275456
荣耀20青春版,10.2-10.8,20133,10,41,1275456
荣耀20青春版,10.9-10.15,17614,10,42,1275456
荣耀20青春版,10.16-10.22,16194,10,43,1275456
荣耀30 5G,1.1-1.5,\,1,1,1317141
荣耀30 5G,1.6-1.12,\,1,2,1317141
荣耀30 5G,1.13-1.19,\,1,3,1317141
荣耀30 5G,1.20-1.26,\,1,4,1317141
荣耀30 5G,1.27-1.31,\,1,5,1317141
荣耀30 5G,2.1-2.2,\,2,5,1317141
荣耀30 5G,2.3-2.9,\,2,6,1317141
荣耀30 5G,2.10-2.16,\,2,7,1317141
荣耀30 5G,2.17-2.23,\,2,8,1317141
荣耀30 5G,2.24-2.29,\,2,9,1317141
荣耀30 5G,3.1-3.5,\,3,10,1317141
荣耀30 5G,3.6-3.12,\,3,11,1317141
荣耀30 5G,3.13-3.19,\,3,12,1317141
荣耀30 5G,3.20-3.26,\,3,13,1317141
荣耀30 5G,3.27-3.31,\,3,14,1317141
荣耀30 5G,4.1-4.2,\,4,14,1317141
荣耀30 5G,4.3-4.9,\,4,15,1317141
荣耀30 5G,4.10-4.16,\,4,16,1317141
荣耀30 5G,4.17-4.23,12094,4,17,1317141
荣耀30 5G,4.24-4.30,30960,4,18,1317141
荣耀30 5G,5.1-5.7,44717,5,19,1317141
荣耀30 5G,5.8-5.14,42866,5,20,1317141
荣耀30 5G,5.15-5.21,44396,5,21,1317141
荣耀30 5G,5.22-5.28,50736,5,22,1317141
荣耀30 5G,5.29-5.31,22684,5,23,1317141
荣耀30 5G,6.1-6.4,36059,6,23,1317141
荣耀30 5G,6.5-6.11,67628,6,24,1317141
荣耀30 5G,6.12-6.18,70823,6,25,1317141
荣耀30 5G,6.19-6.25,83820,6,26,1317141
荣耀30 5G,6.26-6.30,55105,6,27,1317141
荣耀30 5G,7.1-7.2,21669,7,27,1317141
荣耀30 5G,7.3-7.9,77255,7,28,1317141
荣耀30 5G,7.10-7.16,97467,7,29,1317141
荣耀30 5G,7.17-7.23,94760,7,30,1317141
荣耀30 5G,7.24-7.30,101526,7,31,1317141
荣耀30 5G,7.31-7.31,14504,7,32,1317141
荣耀30 5G,8.1-8.6,90705,8,32,1317141
荣耀30 5G,8.7-8.13,106799,8,33,1317141
荣耀30 5G,8.14-8.20,115567,8,34,1317141
荣耀30 5G,8.21-8.27,113190,8,35,1317141
荣耀30 5G,8.28-8.31,65718,8,36,1317141
荣耀30 5G,9.1-9.3,47145,9,36,1317141
荣耀30 5G,9.4-9.10,104403,9,37,1317141
荣耀30 5G,9.11-9.17,97721,9,38,1317141
荣耀30 5G,9.18-9.24,88910,9,39,1317141
荣耀30 5G,9.25-9.30,72557,9,40,1317141
荣耀30 5G,10.1,13433,10,40,1317141
荣耀30 5G,10.2-10.8,82191,10,41,1317141
荣耀30 5G,10.9-10.15,79309,10,42,1317141
荣耀30 5G,10.16-10.22,72111,10,43,1317141
荣耀30 Pro 5G,1.1-1.5,\,1,1,1319305
荣耀30 Pro 5G,1.6-1.12,\,1,2,1319305
荣耀30 Pro 5G,1.13-1.19,\,1,3,1319305
荣耀30 Pro 5G,1.20-1.26,\,1,4,1319305
荣耀30 Pro 5G,1.27-1.31,\,1,5,1319305
荣耀30 Pro 5G,2.1-2.2,\,2,5,1319305
荣耀30 Pro 5G,2.3-2.9,\,2,6,1319305
荣耀30 Pro 5G,2.10-2.16,\,2,7,1319305
荣耀30 Pro 5G,2.17-2.23,\,2,8,1319305
荣耀30 Pro 5G,2.24-2.29,\,2,9,1319305
荣耀30 Pro 5G,3.1-3.5,\,3,10,1319305
荣耀30 Pro 5G,3.6-3.12,\,3,11,1319305
荣耀30 Pro 5G,3.13-3.19,\,3,12,1319305
荣耀30 Pro 5G,3.20-3.26,\,3,13,1319305
荣耀30 Pro 5G,3.27-3.31,\,3,14,1319305
荣耀30 Pro 5G,4.1-4.2,\,4,14,1319305
荣耀30 Pro 5G,4.3-4.9,\,4,15,1319305
荣耀30 Pro 5G,4.10-4.16,\,4,16,1319305
荣耀30 Pro 5G,4.17-4.23,11284,4,17,1319305
荣耀30 Pro 5G,4.24-4.30,29425,4,18,1319305
荣耀30 Pro 5G,5.1-5.7,40455,5,19,1319305
荣耀30 Pro 5G,5.8-5.14,37879,5,20,1319305
荣耀30 Pro 5G,5.15-5.21,38744,5,21,1319305
荣耀30 Pro 5G,5.22-5.28,41458,5,22,1319305
荣耀30 Pro 5G,5.29-5.31,18482,5,23,1319305
荣耀30 Pro 5G,6.1-6.4,26199,6,23,1319305
荣耀30 Pro 5G,6.5-6.11,48677,6,24,1319305
荣耀30 Pro 5G,6.12-6.18,51389,6,25,1319305
荣耀30 Pro 5G,6.19-6.25,60363,6,26,1319305
荣耀30 Pro 5G,6.26-6.30,39852,6,27,1319305
荣耀30 Pro 5G,7.1-7.2,15541,7,27,1319305
荣耀30 Pro 5G,7.3-7.9,54745,7,28,1319305
荣耀30 Pro 5G,7.10-7.16,65849,7,29,1319305
荣耀30 Pro 5G,7.17-7.23,62725,7,30,1319305
荣耀30 Pro 5G,7.24-7.30,66314,7,31,1319305
荣耀30 Pro 5G,7.31-7.31,9473,7,32,1319305
荣耀30 Pro 5G,8.1-8.6,59486,8,32,1319305
荣耀30 Pro 5G,8.7-8.13,69068,8,33,1319305
荣耀30 Pro 5G,8.14-8.20,74034,8,34,1319305
荣耀30 Pro 5G,8.21-8.27,72597,8,35,1319305
荣耀30 Pro 5G,8.28-8.31,40624,8,36,1319305
荣耀30 Pro 5G,9.1-9.3,29958,9,36,1319305
荣耀30 Pro 5G,9.4-9.10,66797,9,37,1319305
荣耀30 Pro 5G,9.11-9.17,65021,9,38,1319305
荣耀30 Pro 5G,9.18-9.24,61560,9,39,1319305
荣耀30 Pro 5G,9.25-9.30,52167,9,40,1319305
荣耀30 Pro 5G,10.1,9565,10,40,1319305
荣耀30 Pro 5G,10.2-10.8,64457,10,41,1319305
荣耀30 Pro 5G,10.9-10.15,64009,10,42,1319305
荣耀30 Pro 5G,10.16-10.22,61029,10,43,1319305
荣耀30 Pro+ 5G,1.1-1.5,\,1,1,1319283
荣耀30 Pro+ 5G,1.6-1.12,\,1,2,1319283
荣耀30 Pro+ 5G,1.13-1.19,\,1,3,1319283
荣耀30 Pro+ 5G,1.20-1.26,\,1,4,1319283
荣耀30 Pro+ 5G,1.27-1.31,\,1,5,1319283
荣耀30 Pro+ 5G,2.1-2.2,\,2,5,1319283
荣耀30 Pro+ 5G,2.3-2.9,\,2,6,1319283
荣耀30 Pro+ 5G,2.10-2.16,\,2,7,1319283
荣耀30 Pro+ 5G,2.17-2.23,\,2,8,1319283
荣耀30 Pro+ 5G,2.24-2.29,\,2,9,1319283
荣耀30 Pro+ 5G,3.1-3.5,\,3,10,1319283
荣耀30 Pro+ 5G,3.6-3.12,\,3,11,1319283
荣耀30 Pro+ 5G,3.13-3.19,\,3,12,1319283
荣耀30 Pro+ 5G,3.20-3.26,\,3,13,1319283
荣耀30 Pro+ 5G,3.27-3.31,\,3,14,1319283
荣耀30 Pro+ 5G,4.1-4.2,\,4,14,1319283
荣耀30 Pro+ 5G,4.3-4.9,\,4,15,1319283
荣耀30 Pro+ 5G,4.10-4.16,\,4,16,1319283
荣耀30 Pro+ 5G,4.17-4.23,1053,4,17,1319283
荣耀30 Pro+ 5G,4.24-4.30,4415,4,18,1319283
荣耀30 Pro+ 5G,5.1-5.7,7041,5,19,1319283
荣耀30 Pro+ 5G,5.8-5.14,7614,5,20,1319283
荣耀30 Pro+ 5G,5.15-5.21,8393,5,21,1319283
荣耀30 Pro+ 5G,5.22-5.28,8569,5,22,1319283
荣耀30 Pro+ 5G,5.29-5.31,3625,5,23,1319283
荣耀30 Pro+ 5G,6.1-6.4,5450,6,23,1319283
荣耀30 Pro+ 5G,6.5-6.11,10066,6,24,1319283
荣耀30 Pro+ 5G,6.12-6.18,10214,6,25,1319283
荣耀30 Pro+ 5G,6.19-6.25,12444,6,26,1319283
荣耀30 Pro+ 5G,6.26-6.30,7336,6,27,1319283
荣耀30 Pro+ 5G,7.1-7.2,2916,7,27,1319283
荣耀30 Pro+ 5G,7.3-7.9,9921,7,28,1319283
荣耀30 Pro+ 5G,7.10-7.16,11186,7,29,1319283
荣耀30 Pro+ 5G,7.17-7.23,10452,7,30,1319283
荣耀30 Pro+ 5G,7.24-7.30,11345,7,31,1319283
荣耀30 Pro+ 5G,7.31-7.31,1621,7,32,1319283
荣耀30 Pro+ 5G,8.1-8.6,9761,8,32,1319283
荣耀30 Pro+ 5G,8.7-8.13,11943,8,33,1319283
荣耀30 Pro+ 5G,8.14-8.20,12766,8,34,1319283
荣耀30 Pro+ 5G,8.21-8.27,12135,8,35,1319283
荣耀30 Pro+ 5G,8.28-8.31,6975,8,36,1319283
荣耀30 Pro+ 5G,9.1-9.3,5090,9,36,1319283
荣耀30 Pro+ 5G,9.4-9.10,11204,9,37,1319283
荣耀30 Pro+ 5G,9.11-9.17,11050,9,38,1319283
荣耀30 Pro+ 5G,9.18-9.24,10846,9,39,1319283
荣耀30 Pro+ 5G,9.25-9.30,9390,9,40,1319283
荣耀30 Pro+ 5G,10.1,1696,10,40,1319283
荣耀30 Pro+ 5G,10.2-10.8,11616,10,41,1319283
荣耀30 Pro+ 5G,10.9-10.15,11499,10,42,1319283
荣耀30 Pro+ 5G,10.16-10.22,10532,10,43,1319283
荣耀30S,1.1-1.5,\,1,1,1314845
荣耀30S,1.6-1.12,\,1,2,1314845
荣耀30S,1.13-1.19,\,1,3,1314845
荣耀30S,1.20-1.26,\,1,4,1314845
荣耀30S,1.27-1.31,\,1,5,1314845
荣耀30S,2.1-2.2,\,2,5,1314845
荣耀30S,2.3-2.9,\,2,6,1314845
荣耀30S,2.10-2.16,\,2,7,1314845
荣耀30S,2.17-2.23,\,2,8,1314845
荣耀30S,2.24-2.29,\,2,9,1314845
荣耀30S,3.1-3.5,\,3,10,1314845
荣耀30S,3.6-3.12,\,3,11,1314845
荣耀30S,3.13-3.19,\,3,12,1314845
荣耀30S,3.20-3.26,\,3,13,1314845
荣耀30S,3.27-3.31,\,3,14,1314845
荣耀30S,4.1-4.2,\,4,14,1314845
荣耀30S,4.3-4.9,9492,4,15,1314845
荣耀30S,4.10-4.16,82196,4,16,1314845
荣耀30S,4.17-4.23,86614,4,17,1314845
荣耀30S,4.24-4.30,89764,4,18,1314845
荣耀30S,5.1-5.7,109213,5,19,1314845
荣耀30S,5.8-5.14,107224,5,20,1314845
荣耀30S,5.15-5.21,108184,5,21,1314845
荣耀30S,5.22-5.28,112837,5,22,1314845
荣耀30S,5.29-5.31,49056,5,23,1314845
荣耀30S,6.1-6.4,66419,6,23,1314845
荣耀30S,6.5-6.11,119992,6,24,1314845
荣耀30S,6.12-6.18,122126,6,25,1314845
荣耀30S,6.19-6.25,136484,6,26,1314845
荣耀30S,6.26-6.30,93455,6,27,1314845
荣耀30S,7.1-7.2,37682,7,27,1314845
荣耀30S,7.3-7.9,128902,7,28,1314845
荣耀30S,7.10-7.16,137250,7,29,1314845
荣耀30S,7.17-7.23,134081,7,30,1314845
荣耀30S,7.24-7.30,134664,7,31,1314845
荣耀30S,7.31-7.31,19238,7,32,1314845
荣耀30S,8.1-8.6,116008,8,32,1314845
荣耀30S,8.7-8.13,131962,8,33,1314845
荣耀30S,8.14-8.20,133635,8,34,1314845
荣耀30S,8.21-8.27,128864,8,35,1314845
荣耀30S,8.28-8.31,73528,8,36,1314845
荣耀30S,9.1-9.3,53174,9,36,1314845
荣耀30S,9.4-9.10,117370,9,37,1314845
荣耀30S,9.11-9.17,111165,9,38,1314845
荣耀30S,9.18-9.24,105771,9,39,1314845
荣耀30S,9.25-9.30,90433,9,40,1314845
荣耀30S,10.1,17297,10,40,1314845
荣耀30S,10.2-10.8,108443,10,41,1314845
荣耀30S,10.9-10.15,102482,10,42,1314845
荣耀30S,10.16-10.22,95930,10,43,1314845
荣耀30青春版,1.1-1.5,\,1,1,1329231
荣耀30青春版,1.6-1.12,\,1,2,1329231
荣耀30青春版,1.13-1.19,\,1,3,1329231
荣耀30青春版,1.20-1.26,\,1,4,1329231
荣耀30青春版,1.27-1.31,\,1,5,1329231
荣耀30青春版,2.1-2.2,\,2,5,1329231
荣耀30青春版,2.3-2.9,\,2,6,1329231
荣耀30青春版,2.10-2.16,\,2,7,1329231
荣耀30青春版,2.17-2.23,\,2,8,1329231
荣耀30青春版,2.24-2.29,\,2,9,1329231
荣耀30青春版,3.1-3.5,\,3,10,1329231
荣耀30青春版,3.6-3.12,\,3,11,1329231
荣耀30青春版,3.13-3.19,\,3,12,1329231
荣耀30青春版,3.20-3.26,\,3,13,1329231
荣耀30青春版,3.27-3.31,\,3,14,1329231
荣耀30青春版,4.1-4.2,\,4,14,1329231
荣耀30青春版,4.3-4.9,\,4,15,1329231
荣耀30青春版,4.10-4.16,\,4,16,1329231
荣耀30青春版,4.17-4.23,\,4,17,1329231
荣耀30青春版,4.24-4.30,\,4,18,1329231
荣耀30青春版,5.1-5.7,\,5,19,1329231
荣耀30青春版,5.8-5.14,\,5,20,1329231
荣耀30青春版,5.15-5.21,\,5,21,1329231
荣耀30青春版,5.22-5.28,\,5,22,1329231
荣耀30青春版,5.29-5.31,\,5,23,1329231
荣耀30青春版,6.1-6.4,\,6,23,1329231
荣耀30青春版,6.5-6.11,\,6,24,1329231
荣耀30青春版,6.12-6.18,\,6,25,1329231
荣耀30青春版,6.19-6.25,\,6,26,1329231
荣耀30青春版,6.26-6.30,\,6,27,1329231
荣耀30青春版,7.1-7.2,\,7,27,1329231
荣耀30青春版,7.3-7.9,2824,7,28,1329231
荣耀30青春版,7.10-7.16,17360,7,29,1329231
荣耀30青春版,7.17-7.23,23841,7,30,1329231
荣耀30青春版,7.24-7.30,30123,7,31,1329231
荣耀30青春版,7.31-7.31,4303,7,32,1329231
荣耀30青春版,8.1-8.6,31519,8,32,1329231
荣耀30青春版,8.7-8.13,41121,8,33,1329231
荣耀30青春版,8.14-8.20,49390,8,34,1329231
荣耀30青春版,8.21-8.27,51025,8,35,1329231
荣耀30青春版,8.28-8.31,36634,8,36,1329231
荣耀30青春版,9.1-9.3,24388,9,36,1329231
荣耀30青春版,9.4-9.10,55950,9,37,1329231
荣耀30青春版,9.11-9.17,54713,9,38,1329231
荣耀30青春版,9.18-9.24,53638,9,39,1329231
荣耀30青春版,9.25-9.30,46982,9,40,1329231
荣耀30青春版,10.1,12079,10,40,1329231
荣耀30青春版,10.2-10.8,70513,10,41,1329231
荣耀30青春版,10.9-10.15,61086,10,42,1329231
荣耀30青春版,10.16-10.22,60396,10,43,1329231
荣耀8X,1.1-1.5,79225,1,1,1209676
荣耀8X,1.6-1.12,104179,1,2,1209676
荣耀8X,1.13-1.19,117163,1,3,1209676
荣耀8X,1.20-1.26,124512,1,4,1209676
荣耀8X,1.27-1.31,73643,1,5,1209676
荣耀8X,2.1-2.2,23297,2,5,1209676
荣耀8X,2.3-2.9,66626,2,6,1209676
荣耀8X,2.10-2.16,61207,2,7,1209676
荣耀8X,2.17-2.23,57992,2,8,1209676
荣耀8X,2.24-2.29,53062,2,9,1209676
荣耀8X,3.1-3.5,41790,3,10,1209676
荣耀8X,3.6-3.12,51447,3,11,1209676
荣耀8X,3.13-3.19,45445,3,12,1209676
荣耀8X,3.20-3.26,39647,3,13,1209676
荣耀8X,3.27-3.31,22887,3,14,1209676
荣耀8X,4.1-4.2,8000,4,14,1209676
荣耀8X,4.3-4.9,22632,4,15,1209676
荣耀8X,4.10-4.16,19673,4,16,1209676
荣耀8X,4.17-4.23,18300,4,17,1209676
荣耀8X,4.24-4.30,16347,4,18,1209676
荣耀8X,5.1-5.7,15259,5,19,1209676
荣耀8X,5.8-5.14,14899,5,20,1209676
荣耀8X,5.15-5.21,12731,5,21,1209676
荣耀8X,5.22-5.28,11435,5,22,1209676
荣耀8X,5.29-5.31,5371,5,23,1209676
荣耀8X,6.1-6.4,6802,6,23,1209676
荣耀8X,6.5-6.11,11058,6,24,1209676
荣耀8X,6.12-6.18,10728,6,25,1209676
荣耀8X,6.19-6.25,12174,6,26,1209676
荣耀8X,6.26-6.30,9487,6,27,1209676
荣耀8X,7.1-7.2,4477,7,27,1209676
荣耀8X,7.3-7.9,15809,7,28,1209676
荣耀8X,7.10-7.16,12972,7,29,1209676
荣耀8X,7.17-7.23,9448,7,30,1209676
荣耀8X,7.24-7.30,9238,7,31,1209676
荣耀8X,7.31-7.31,1320,7,32,1209676
荣耀8X,8.1-8.6,12249,8,32,1209676
荣耀8X,8.7-8.13,10044,8,33,1209676
荣耀8X,8.14-8.20,8685,8,34,1209676
荣耀8X,8.21-8.27,8326,8,35,1209676
荣耀8X,8.28-8.31,4576,8,36,1209676
荣耀8X,9.1-9.3,3955,9,36,1209676
荣耀8X,9.4-9.10,10438,9,37,1209676
荣耀8X,9.11-9.17,9637,9,38,1209676
荣耀8X,9.18-9.24,10204,9,39,1209676
荣耀8X,9.25-9.30,7314,9,40,1209676
荣耀8X,10.1,1229,10,40,1209676
荣耀8X,10.2-10.8,6923,10,41,1209676
荣耀8X,10.9-10.15,6291,10,42,1209676
荣耀8X,10.16-10.22,5749,10,43,1209676
荣耀8X Max,1.1-1.5,2970,1,1,1225803
荣耀8X Max,1.6-1.12,4083,1,2,1225803
荣耀8X Max,1.13-1.19,4303,1,3,1225803
荣耀8X Max,1.20-1.26,4241,1,4,1225803
荣耀8X Max,1.27-1.31,5181,1,5,1225803
荣耀8X Max,2.1-2.2,1225,2,5,1225803
荣耀8X Max,2.3-2.9,2590,2,6,1225803
荣耀8X Max,2.10-2.16,3600,2,7,1225803
荣耀8X Max,2.17-2.23,2422,2,8,1225803
荣耀8X Max,2.24-2.29,1744,2,9,1225803
荣耀8X Max,3.1-3.5,1319,3,10,1225803
荣耀8X Max,3.6-3.12,1866,3,11,1225803
荣耀8X Max,3.13-3.19,3001,3,12,1225803
荣耀8X Max,3.20-3.26,3311,3,13,1225803
荣耀8X Max,3.27-3.31,2073,3,14,1225803
荣耀8X Max,4.1-4.2,830,4,14,1225803
荣耀8X Max,4.3-4.9,3340,4,15,1225803
荣耀8X Max,4.10-4.16,3120,4,16,1225803
荣耀8X Max,4.17-4.23,2941,4,17,1225803
荣耀8X Max,4.24-4.30,2393,4,18,1225803
荣耀8X Max,5.1-5.7,2421,5,19,1225803
荣耀8X Max,5.8-5.14,2484,5,20,1225803
荣耀8X Max,5.15-5.21,1933,5,21,1225803
荣耀8X Max,5.22-5.28,1504,5,22,1225803
荣耀8X Max,5.29-5.31,756,5,23,1225803
荣耀8X Max,6.1-6.4,1021,6,23,1225803
荣耀8X Max,6.5-6.11,1542,6,24,1225803
荣耀8X Max,6.12-6.18,1767,6,25,1225803
荣耀8X Max,6.19-6.25,1851,6,26,1225803
荣耀8X Max,6.26-6.30,1405,6,27,1225803
荣耀8X Max,7.1-7.2,621,7,27,1225803
荣耀8X Max,7.3-7.9,1971,7,28,1225803
荣耀8X Max,7.10-7.16,2088,7,29,1225803
荣耀8X Max,7.17-7.23,1574,7,30,1225803
荣耀8X Max,7.24-7.30,1397,7,31,1225803
荣耀8X Max,7.31-7.31,200,7,32,1225803
荣耀8X Max,8.1-8.6,1205,8,32,1225803
荣耀8X Max,8.7-8.13,1510,8,33,1225803
荣耀8X Max,8.14-8.20,1336,8,34,1225803
荣耀8X Max,8.21-8.27,1285,8,35,1225803
荣耀8X Max,8.28-8.31,824,8,36,1225803
荣耀8X Max,9.1-9.3,633,9,36,1225803
荣耀8X Max,9.4-9.10,1612,9,37,1225803
荣耀8X Max,9.11-9.17,1625,9,38,1225803
荣耀8X Max,9.18-9.24,1490,9,39,1225803
荣耀8X Max,9.25-9.30,1123,9,40,1225803
荣耀8X Max,10.1,197,10,40,1225803
