机型,日期,销量,月份,周数,index
OPPO A7,2.10-2.16,7632,2,7,1232384
OPPO A7,2.17-2.23,6545,2,8,1232384
OPPO A7,2.24-2.29,5485,2,9,1232384
OPPO A7,3.1-3.5,4953,3,10,1232384
OPPO A7,3.6-3.12,6884,3,11,1232384
OPPO A7,3.13-3.19,8061,3,12,1232384
OPPO A7,3.20-3.26,18669,3,13,1232384
OPPO A7,3.27-3.31,8580,3,14,1232384
OPPO A7,4.1-4.2,3375,4,14,1232384
OPPO A7,4.3-4.9,12581,4,15,1232384
OPPO A7,4.10-4.16,11012,4,16,1232384
OPPO A7,4.17-4.23,8989,4,17,1232384
OPPO A7,4.24-4.30,7338,4,18,1232384
OPPO A7,5.1-5.7,5938,5,19,1232384
OPPO A7,5.8-5.14,5498,5,20,1232384
OPPO A7,5.15-5.21,5195,5,21,1232384
OPPO A7,5.22-5.28,4794,5,22,1232384
OPPO A7,5.29-5.31,2089,5,23,1232384
OPPO A7,6.1-6.4,2605,6,23,1232384
OPPO A7,6.5-6.11,4242,6,24,1232384
OPPO A7,6.12-6.18,5082,6,25,1232384
OPPO A7,6.19-6.25,5314,6,26,1232384
OPPO A7,6.26-6.30,3422,6,27,1232384
OPPO A7,7.1-7.2,1409,7,27,1232384
OPPO A7,7.3-7.9,4335,7,28,1232384
OPPO A7,7.10-7.16,4249,7,29,1232384
OPPO A7,7.17-7.23,3831,7,30,1232384
OPPO A7,7.24-7.30,3426,7,31,1232384
OPPO A7,7.31-7.31,489,7,32,1232384
OPPO A7,8.1-8.6,3029,8,32,1232384
OPPO A7,8.7-8.13,3313,8,33,1232384
OPPO A7,8.14-8.20,3197,8,34,1232384
OPPO A7,8.21-8.27,2893,8,35,1232384
OPPO A7,8.28-8.31,1817,8,36,1232384
OPPO A7,9.1-9.3,1232,9,36,1232384
OPPO A7,9.4-9.10,2834,9,37,1232384
OPPO A7,9.11-9.17,3150,9,38,1232384
OPPO A7,9.18-9.24,4111,9,39,1232384
OPPO A7,9.25-9.30,3194,9,40,1232384
OPPO A7,10.1,713,10,40,1232384
OPPO A7,10.2-10.8,3381,10,41,1232384
OPPO A7,10.9-10.15,3166,10,42,1232384
